SNR,CDF
-3.011361,0.010000
-3.011361,0.010000
0.218968,0.020000
0.218968,0.020000
0.420065,0.030000
0.420065,0.030000
0.667519,0.040000
0.667519,0.040000
1.640438,0.050000
1.640438,0.050000
1.918107,0.060000
1.918107,0.060000
2.567671,0.070000
2.567671,0.070000
3.022406,0.080000
3.022406,0.080000
4.540729,0.090000
4.540729,0.090000
4.788626,0.100000
4.788626,0.100000
5.722118,0.110000
5.722118,0.110000
6.137084,0.120000
6.137084,0.120000
6.872823,0.130000
6.872823,0.130000
7.420435,0.140000
7.420435,0.140000
7.978697,0.150000
7.978697,0.150000
8.651769,0.160000
8.651769,0.160000
11.373916,0.170000
11.373916,0.170000
12.611507,0.180000
12.611507,0.180000
17.126926,0.190000
17.126926,0.190000
17.534658,0.200000
17.534658,0.200000
17.782088,0.210000
17.782088,0.210000
20.244840,0.220000
20.244840,0.220000
20.314338,0.230000
20.314338,0.230000
22.509236,0.240000
22.509236,0.240000
23.267364,0.250000
23.267364,0.250000
23.362915,0.260000
23.362915,0.260000
23.868086,0.270000
23.868086,0.270000
24.273391,0.280000
24.273391,0.280000
24.447105,0.290000
24.447105,0.290000
25.766869,0.300000
25.766869,0.300000
25.968985,0.310000
25.968985,0.310000
26.217122,0.320000
26.217122,0.320000
26.551764,0.330000
26.551764,0.330000
27.191037,0.340000
27.191037,0.340000
27.574718,0.350000
27.574718,0.350000
27.882203,0.360000
27.882203,0.360000
27.897313,0.370000
27.897313,0.370000
28.959146,0.380000
28.959146,0.380000
29.209243,0.390000
29.209243,0.390000
29.416834,0.400000
29.416834,0.400000
29.458844,0.410000
29.458844,0.410000
30.224796,0.420000
30.224796,0.420000
30.353045,0.430000
30.353045,0.430000
30.512461,0.440000
30.512461,0.440000
31.101577,0.450000
31.101577,0.450000
32.886448,0.460000
32.886448,0.460000
34.164679,0.470000
34.164679,0.470000
34.737952,0.480000
34.737952,0.480000
35.434560,0.490000
35.434560,0.490000
35.734844,0.500000
35.734844,0.500000
36.034732,0.510000
36.034732,0.510000
36.192498,0.520000
36.192498,0.520000
36.200055,0.530000
36.200055,0.530000
36.548490,0.540000
36.548490,0.540000
36.732333,0.550000
36.732333,0.550000
37.064366,0.560000
37.064366,0.560000
37.205361,0.570000
37.205361,0.570000
37.215336,0.580000
37.215336,0.580000
37.273408,0.590000
37.273408,0.590000
38.797424,0.600000
38.797424,0.600000
38.837181,0.610000
38.837181,0.610000
39.246003,0.620000
39.246003,0.620000
39.354940,0.630000
39.354940,0.630000
39.873552,0.640000
39.873552,0.640000
39.938235,0.650000
39.938235,0.650000
40.037860,0.660000
40.037860,0.660000
40.462461,0.670000
40.462461,0.670000
40.757416,0.680000
40.757416,0.680000
40.935789,0.690000
40.935789,0.690000
40.988426,0.700000
40.988426,0.700000
41.499654,0.710000
41.499654,0.710000
42.447149,0.720000
42.447149,0.720000
42.589779,0.730000
42.589779,0.730000
43.475492,0.740000
43.475492,0.740000
43.515005,0.750000
43.515005,0.750000
44.395786,0.760000
44.395786,0.760000
44.591396,0.770000
44.591396,0.770000
45.107191,0.780000
45.107191,0.780000
45.526380,0.790000
45.526380,0.790000
45.816644,0.800000
45.816644,0.800000
45.861075,0.810000
45.861075,0.810000
46.022995,0.820000
46.022995,0.820000
46.377978,0.830000
46.377978,0.830000
46.730044,0.840000
46.730044,0.840000
47.383111,0.850000
47.383111,0.850000
47.645166,0.860000
47.645166,0.860000
49.077674,0.870000
49.077674,0.870000
49.416442,0.880000
49.416442,0.880000
49.592173,0.890000
49.592173,0.890000
50.982978,0.900000
50.982978,0.900000
51.032816,0.910000
51.032816,0.910000
51.165877,0.920000
51.165877,0.920000
51.205708,0.930000
51.205708,0.930000
51.608639,0.940000
51.608639,0.940000
52.127343,0.950000
52.127343,0.950000
52.392910,0.960000
52.392910,0.960000
52.576164,0.970000
52.576164,0.970000
52.925817,0.980000
52.925817,0.980000
53.012913,0.990000
53.012913,0.990000
54.223922,1.000000
54.223922,1.000000
