TAG,SINR,DISTANCE,RXNODE,TXNODE
2,7.15,198.21,113,0
1,2.22,258.72,204,0
2,6.12,210.06,393,0
2,10.56,163.19,507,0
2,8.30,185.54,85,0
2,6.30,207.64,145,0
2,8.51,183.59,165,0
2,13.65,135.65,493,0
2,15.90,118.26,92,0
2,6.39,207.04,98,0
0,0.86,275.39,115,0
0,0.06,284.99,185,0
2,21.13,85.23,242,0
2,13.15,139.87,333,0
2,10.63,162.55,491,0
1,2.76,248.54,497,0
2,7.75,191.41,328,0
0,-0.70,293.47,415,0
2,22.08,80.21,487,0
2,7.70,192.06,69,0
1,3.14,245.12,143,0
0,-1.99,318.78,164,0
2,7.02,199.53,500,0
2,14.42,129.51,166,0
2,7.58,193.12,225,0
1,4.28,231.51,253,0
1,1.96,258.84,280,0
1,1.64,262.31,510,0
2,7.02,199.21,119,0
0,-1.75,311.56,246,0
1,4.69,226.08,356,0
0,0.59,280.84,100,0
2,6.24,208.77,146,0
1,1.31,266.65,234,0
1,3.49,240.04,258,0
1,2.09,259.16,542,0
1,2.42,253.28,161,0
2,9.64,172.17,295,0
2,8.06,188.22,523,0
0,-3.40,340.57,64,0
2,8.60,182.80,71,0
2,8.03,188.37,262,0
1,3.12,245.96,297,0
1,4.28,230.19,373,0
0,-0.60,297.72,388,0
2,19.85,92.41,418,0
1,1.54,266.39,419,0
2,12.24,147.70,117,0
2,29.68,49.21,288,0
2,7.55,193.59,305,0
1,3.61,240.65,477,0
0,-1.47,310.93,139,0
0,-0.97,294.83,151,0
2,12.51,145.32,150,0
2,30.96,45.30,239,0
2,6.78,201.89,281,0
2,8.73,181.46,454,0
2,7.95,189.21,526,0
0,-1.74,309.18,407,0
2,11.97,150.07,445,0
2,8.03,188.64,447,0
2,9.58,172.79,460,0
1,2.90,247.69,489,0
1,1.19,272.57,548,0
0,-0.06,284.70,90,0
2,10.17,166.78,155,0
0,-0.30,288.52,228,0
2,7.32,195.88,361,0
0,-1.17,303.88,432,0
2,32.84,40.11,74,0
2,6.85,201.06,171,0
2,7.03,199.24,372,0
2,6.16,209.69,543,0
2,22.46,78.31,86,0
0,-1.55,304.04,202,0
1,2.23,254.79,215,0
2,8.66,182.08,291,0
1,1.13,273.02,316,0
0,0.15,280.95,413,0
2,12.90,141.91,182,0
0,-1.01,302.06,193,0
1,1.30,269.87,358,0
1,4.88,223.24,516,0
1,3.16,243.62,558,0
0,-1.41,299.29,266,0
1,3.09,245.69,289,0
2,13.27,138.83,294,0
1,1.38,269.60,457,0
2,11.74,152.11,461,0
2,11.43,154.94,464,0
1,5.68,214.98,532,0
0,-1.03,303.12,378,0
2,21.16,85.06,181,0
1,1.85,261.59,209,0
2,11.63,153.15,438,0
2,14.90,125.76,135,0
2,16.01,117.48,153,0
2,26.25,61.40,183,0
1,2.33,254.15,553,0
0,-0.74,291.37,325,0
1,5.89,211.79,400,0
0,-0.76,299.24,439,0
2,9.48,173.80,77,0
2,7.37,195.35,196,0
2,24.11,70.45,211,0
2,27.48,56.72,384,0
0,-0.46,295.79,503,0
2,6.29,207.85,539,0
