% RxNodeID	FreqInGHz	BandwidthMHz	N0	RSSI	BestRSRP	BestRSRPNode	BestSINR	RoIDbm
59	1.8	10	-103.9	-102.32940696222231	-108.1820610429819	0	-4.545809839158366	-1000
88	1.8	10	-103.9	-68.27442026237362	-68.27561919641889	1	35.589290705048796	-1000
100	1.8	10	-103.9	-103.02449291644079	-111.43628004385977	0	-7.735752492765769	-1000
50	1.8	10	-103.9	-82.53507838506792	-82.78659276000982	0	12.245850908653779	-1000
66	1.8	10	-103.9	-79.68426810051318	-79.70076686247413	1	24.195077553255686	-1000
68	1.8	10	-103.9	-73.82658667472543	-73.8308687600468	1	30.059148729983775	-1000
71	1.8	10	-103.9	-99.86530114381068	-102.0553625821469	1	1.8323296684749266	-1000
8	1.8	10	-103.9	-100.48930162372841	-103.13371237795214	2	0.765463971084003	-1000
27	1.8	10	-103.9	-95.15685127326196	-95.77953720639815	2	8.120090238304101	-1000
30	1.8	10	-103.9	-89.62029345997374	-89.7855461343924	2	14.11346981130788	-1000
31	1.8	10	-103.9	-93.87103247836166	-94.3254479150981	0	9.574123694482353	-1000
83	1.8	10	-103.9	-102.98140765152132	-110.62332894461152	0	-6.821643989812571	-1000
67	1.8	10	-103.9	-79.58760579986253	-79.60374325984475	2	24.29142010144804	-1000
74	1.8	10	-103.9	-91.7823836558921	-92.05769239355013	1	11.84126163324919	-1000
84	1.8	10	-103.9	-67.87793156050371	-67.87903081505696	1	35.96631074215145	-1000
99	1.8	10	-103.9	-100.38551051514557	-102.95377025191479	0	0.9342249043145898	-1000
23	1.8	10	-103.9	-82.83499968819898	-82.8691401566803	0	21.028066933330507	-1000
43	1.8	10	-103.9	-71.16501072395485	-71.16742047242445	0	32.556921051792614	-1000
55	1.8	10	-103.9	-76.96210648854847	-76.97091824164404	2	26.92281329388335	-1000
61	1.8	10	-103.9	-91.94354535448257	-92.22958237703769	0	11.669817180626424	-1000
97	1.8	10	-103.9	-99.28414757405835	-103.60911602117963	0	-2.3224714157770023	-1000
6	1.8	10	-103.9	-90.13979844987088	-90.32655676343346	2	13.571329896052248	-1000
45	1.8	10	-103.9	-96.00245154480223	-96.77183407559346	2	7.126050894884827	-1000
79	1.8	10	-103.9	-90.72390825126249	-90.93883272207646	0	12.94707904976039	-1000
89	1.8	10	-103.9	-90.59380667662873	-90.80157743234139	1	13.09769938397767	-1000
42	1.8	10	-103.9	-89.75996154734203	-89.93071575344533	1	13.968472175811712	-1000
91	1.8	10	-103.9	-87.80809706050304	-87.91638033061986	1	15.977975356719554	-1000
96	1.8	10	-103.9	-89.22430772305633	-89.37503295997371	1	14.520402785101794	-1000
15	1.8	10	-103.9	-100.52412458564694	-103.19780370969922	2	0.7015419897879411	-1000
18	1.8	10	-103.9	-88.03418623233011	-88.14821844176811	2	15.750426862519788	-1000
22	1.8	10	-103.9	-102.46433138793931	-108.08567369504901	1	-4.2302736333895865	-1000
25	1.8	10	-103.9	-87.60160369564889	-87.70471429385037	0	16.1931527473658	-1000
13	1.8	10	-103.9	-91.61080630072192	-91.87544317731393	1	12.018349173770204	-1000
28	1.8	10	-103.9	-90.20638283392114	-90.3960351018198	0	13.503091499476326	-1000
76	1.8	10	-103.9	-97.10053444144003	-98.11862216560091	1	5.781007477863881	-1000
57	1.8	10	-103.9	-101.54599830266199	-107.07407930809693	1	-4.101274253281147	-1000
82	1.8	10	-103.9	-93.4195014012834	-93.85807210334858	0	9.736316387414263	-1000
93	1.8	10	-103.9	-90.27982271775468	-90.4728902639056	0	13.423858956591346	-1000
44	1.8	10	-103.9	-101.10678062696344	-104.45218937628539	2	-0.6462020569068585	-1000
90	1.8	10	-103.9	-100.64643734590888	-103.70843112453777	1	-0.10277956621276019	-1000
70	1.8	10	-103.9	-90.83377215074785	-92.43934826495436	2	3.494041779116884	-1000
77	1.8	10	-103.9	-70.70112896274155	-70.70321748358096	2	33.1784106803177	-1000
7	1.8	10	-103.9	-100.08068280102819	-102.41260675883854	2	1.4826905797830108	-1000
36	1.8	10	-103.9	-90.82050947288423	-91.24743418178217	2	9.859119323039437	-1000
65	1.8	10	-103.9	-89.90961563915275	-90.08649886135291	0	13.812234918984075	-1000
69	1.8	10	-103.9	-86.33659016210815	-86.41354092462319	1	17.477181644486876	-1000
60	1.8	10	-103.9	-85.8930629652219	-85.96235725770553	2	17.936175250425165	-1000
80	1.8	10	-103.9	-84.44593861199726	-84.49558418237723	1	19.394191634545294	-1000
103	1.8	10	-103.9	-101.67307682369932	-105.64142622910512	2	-1.7424791359370033	-1000
32	1.8	10	-103.9	-94.3749829746239	-94.88875927379755	1	9.010682079361743	-1000
52	1.8	10	-103.9	-95.39593680143334	-96.05672609499175	1	7.842630103290219	-1000
53	1.8	10	-103.9	-69.9052435687409	-69.90700357707777	0	33.92181582909461	-1000
58	1.8	10	-103.9	-89.2498495653819	-89.40135918950423	2	14.497465861291062	-1000
49	1.8	10	-103.9	-96.50345618190605	-97.37711495198177	2	6.520274802612917	-1000
51	1.8	10	-103.9	-88.30256761766469	-90.43618102503387	0	1.9762913005638723	-1000
54	1.8	10	-103.9	-69.81941153731202	-69.82114641032796	0	33.984298726638215	-1000
85	1.8	10	-103.9	-87.66975654030762	-88.14901353527054	2	9.33032659233372	-1000
9	1.8	10	-103.9	-75.31043589969248	-75.31817781015775	1	27.485490138507146	-1000
21	1.8	10	-103.9	-102.22073828943734	-108.38083936165506	0	-4.956235784430774	-1000
39	1.8	10	-103.9	-93.67729783725125	-94.11144082837001	0	9.78263552898656	-1000
41	1.8	10	-103.9	-96.1092678589743	-96.89985930545367	0	6.997031281956367	-1000
86	1.8	10	-103.9	-70.72973130746338	-70.73187867340414	1	33.05770878071834	-1000
46	1.8	10	-103.9	-72.78215386639424	-72.7855220607281	0	31.102187497699987	-1000
47	1.8	10	-103.9	-84.46348705590245	-84.51337233203884	0	19.373152793971727	-1000
64	1.8	10	-103.9	-97.91561787556994	-99.17736466920081	2	4.721984485397996	-1000
87	1.8	10	-103.9	-85.30417240576881	-85.36463532102638	1	18.532685750361367	-1000
10	1.8	10	-103.9	-98.15457744577671	-99.49985021978023	2	4.399754043671123	-1000
12	1.8	10	-103.9	-93.04018448238843	-94.85821617901246	2	2.841148126877698	-1000
26	1.8	10	-103.9	-89.5963525400771	-89.76068427840059	2	14.13820366590808	-1000
38	1.8	10	-103.9	-97.46346734978282	-98.58270364581313	1	5.316995316374772	-1000
20	1.8	10	-103.9	-96.80297879057235	-97.74744867640638	1	6.145172223886107	-1000
17	1.8	10	-103.9	-93.88681736270638	-94.34307374508037	1	9.555628375167856	-1000
19	1.8	10	-103.9	-72.53830791029011	-72.541493419645	0	31.344461412850933	-1000
34	1.8	10	-103.9	-101.32515415054725	-104.83940164119126	2	-0.9554507531461383	-1000
37	1.8	10	-103.9	-103.41547024504409	-113.18348768175157	2	-9.283884810276845	-1000
4	1.8	10	-103.9	-87.30823897389305	-87.40451864045858	1	16.494268569277196	-1000
5	1.8	10	-103.9	-100.6341969925972	-103.40376467999938	2	0.4955956099710903	-1000
11	1.8	10	-103.9	-92.44039256686463	-92.76240810272941	2	11.137072289095215	-1000
14	1.8	10	-103.9	-90.83092558895035	-91.05065703239828	2	12.848592092821278	-1000
102	1.8	10	-103.9	-93.37455112519747	-93.77753031881096	0	10.121969385123052	-1000
62	1.8	10	-103.9	-88.54382374291283	-88.67226532946896	1	15.226407429750694	-1000
78	1.8	10	-103.9	-86.37984888980515	-86.45743749857174	1	17.441011405862568	-1000
81	1.8	10	-103.9	-86.54647612866611	-86.62731765821296	2	17.26101442848008	-1000
101	1.8	10	-103.9	-97.20790223279914	-98.2549868355896	1	5.643969324768975	-1000
56	1.8	10	-103.9	-82.80944275748716	-82.84338712733597	1	21.053182366154033	-1000
72	1.8	10	-103.9	-74.38865414790737	-74.39354197167056	2	29.484243587247008	-1000
94	1.8	10	-103.9	-101.17796892415501	-104.52088951502013	0	-0.6415685911835141	-1000
98	1.8	10	-103.9	-88.09044751490377	-88.2059972934324	2	15.69224895225318	-1000
16	1.8	10	-103.9	-93.8286802833745	-94.27851857628772	1	9.620418505912141	-1000
29	1.8	10	-103.9	-79.52065269666767	-79.5370590649427	0	24.21951278677237	-1000
40	1.8	10	-103.9	-87.92669778756193	-88.03790177597483	0	15.860918837447073	-1000
48	1.8	10	-103.9	-93.62961032947732	-94.05833744681163	0	9.83990669597668	-1000
73	1.8	10	-103.9	-97.48696120498576	-98.61315034758461	1	5.286473770614421	-1000
75	1.8	10	-103.9	-97.00628201983322	-98.00792389859294	0	5.860276060246051	-1000
92	1.8	10	-103.9	-102.33023673193074	-107.51225442002138	1	-3.6127986837682613	-1000
95	1.8	10	-103.9	-75.58684856047365	-75.59327908798227	2	28.292161448497268	-1000
24	1.8	10	-103.9	-97.28772140970594	-98.79976240166096	1	3.8042743855391166	-1000
33	1.8	10	-103.9	-90.82785290144324	-91.04743590443448	2	12.851601823889226	-1000
35	1.8	10	-103.9	-91.8567719965796	-92.13696200179965	2	11.762468544354391	-1000
63	1.8	10	-103.9	-86.446292374839	-86.52514473605012	1	17.370210252527954	-1000
