%!I(MISSING)D	X	Y	Z	SNR
63	-2.122561	67.330307	1.100000	23.49
64	-286.311507	182.145225	1.100000	-3.40
65	-220.021477	-77.676803	1.100000	4.00
66	-231.109478	-14.865231	1.100000	4.02
67	39.485627	299.496658	1.100000	-1.08
68	94.972772	-52.352343	1.100000	16.74
69	-126.626712	-141.485337	1.100000	7.70
70	284.082885	-89.544036	1.100000	-0.96
71	146.741736	105.103333	1.100000	8.60
72	135.237232	-153.678398	1.100000	6.36
73	34.769808	-4.607070	1.100000	30.91
74	20.572030	-18.726636	1.100000	32.84
75	102.947593	155.067401	1.100000	8.03
76	251.844830	137.548961	1.100000	0.07
77	138.985328	100.264712	1.100000	9.48
78	-4.974438	-147.151461	1.100000	11.98
79	249.403150	118.535607	1.100000	0.81
80	141.885190	-154.645916	1.100000	5.91
81	-183.300085	-106.082833	1.100000	5.81
82	155.019535	-132.626813	1.100000	6.46
83	268.679671	-45.412721	1.100000	0.74
84	-60.768515	-302.006593	1.100000	-1.65
85	-183.272283	0.137253	1.100000	8.30
86	45.919504	-56.467893	1.100000	22.46
87	171.955984	188.713411	1.100000	2.15
88	-113.540745	-279.357467	1.100000	-1.61
89	67.985936	183.271208	1.100000	7.18
90	91.483108	268.052739	1.100000	-0.06
91	223.624247	-169.719875	1.100000	0.43
92	-66.150796	93.677349	1.100000	15.90
93	-32.980387	23.785393	1.100000	29.47
94	-246.814681	-198.062452	1.100000	-2.12
95	-54.993903	-277.927475	1.100000	0.15
96	-217.492396	154.266469	1.100000	1.49
97	-131.454402	-124.763876	1.100000	8.52
98	-12.465142	204.634139	1.100000	6.39
99	46.467980	8.933859	1.100000	27.84
100	-233.200122	-153.797083	1.100000	0.59
101	-258.017968	106.281833	1.100000	0.55
102	-159.452437	-132.729149	1.100000	6.16
103	-85.181344	-186.408570	1.100000	6.32
104	-19.156912	-10.439369	1.100000	34.41
105	-189.425108	237.942113	1.100000	-1.79
106	-285.249264	-81.506838	1.100000	-0.93
107	-289.361674	-139.954128	1.100000	-2.29
108	-264.292190	-54.540463	1.100000	0.99
109	-268.592562	-10.484869	1.100000	0.94
110	57.618911	-238.758266	1.100000	2.98
111	-143.260782	-128.382039	1.100000	7.49
112	-268.132304	-183.878010	1.100000	-2.54
113	45.003967	-190.861413	1.100000	7.15
114	298.756201	-54.944413	1.100000	-1.69
115	-50.821648	269.108042	1.100000	0.86
116	8.986922	1.308108	1.100000	37.15
117	98.360040	-106.322277	1.100000	12.24
118	-23.218795	-243.218913	1.100000	3.17
119	-98.712180	-170.600557	1.100000	7.02
120	62.888102	290.858566	1.100000	-0.93
121	100.002410	144.857482	1.100000	9.00
122	69.580405	-11.429415	1.100000	22.89
123	-116.112373	-67.334579	1.100000	13.46
124	-300.537457	123.198128	1.100000	-2.64
125	5.064582	-262.181137	1.100000	1.84
126	104.785003	105.400656	1.100000	11.82
127	-12.480147	-73.018041	1.100000	22.22
128	40.001269	-230.442702	1.100000	3.96
129	-157.700708	-111.912454	1.100000	7.41
130	194.892372	158.999312	1.100000	2.58
131	-32.465600	-136.284767	1.100000	12.77
132	-92.986364	9.777272	1.100000	18.94
133	-86.868853	15.270344	1.100000	19.78
134	55.357668	207.770372	1.100000	5.48
135	107.994779	-57.589197	1.100000	14.90
136	-217.328052	-59.439336	1.100000	4.62
137	-195.487192	-189.749516	1.100000	0.89
138	-122.910689	-22.144976	1.100000	14.58
139	-7.985757	-309.477643	1.100000	-1.47
140	128.084642	6.054865	1.100000	14.17
141	-96.097836	-175.636552	1.100000	6.73
142	-117.885586	217.816792	1.100000	2.67
143	-63.681575	234.932776	1.100000	3.14
144	-40.665045	128.821229	1.100000	13.35
145	-150.175294	-140.457843	1.100000	6.30
146	3.101399	-206.741534	1.100000	6.24
147	-108.894829	243.505246	1.100000	1.14
148	121.340417	-184.717257	1.100000	4.91
149	47.834830	34.713293	1.100000	25.18
150	20.518855	-140.933769	1.100000	12.51
151	-291.026331	-37.332399	1.100000	-0.97
152	195.138630	-103.387736	1.100000	5.06
153	-20.451240	112.021638	1.100000	16.01
154	209.802030	185.019963	1.100000	0.41
155	78.163860	-144.470389	1.100000	10.17
156	72.120564	-188.275484	1.100000	6.62
157	-279.368911	64.378922	1.100000	-0.28
158	-128.374296	207.444325	1.100000	2.98
159	-103.355122	-266.889939	1.100000	-0.36
160	69.575292	-34.712039	1.100000	21.55
161	162.874160	191.801611	1.100000	2.42
162	85.928860	-184.042009	1.100000	6.48
163	-218.424585	-53.015007	1.100000	4.65
