TAG,SINR,DISTANCE,RXNODE,TXNODE
2,23.20,163.41,2690,5
0,-1.16,344.59,3446,5
0,0.02,359.76,5117,21
2,10.46,299.47,6279,50
2,12.36,305.69,8300,54
2,22.53,170.41,1303,21
0,-1.29,316.46,1492,2
1,1.65,345.58,3925,1
1,3.65,320.57,6803,32
2,7.20,333.78,445,40
2,12.14,291.43,2190,23
2,21.38,151.18,2435,42
2,6.16,318.49,531,4
1,4.39,244.88,2547,42
2,30.83,94.30,3859,26
2,18.63,218.21,6707,51
2,23.22,142.48,8409,35
2,8.48,280.96,9375,18
2,12.07,213.56,1835,3
2,25.10,78.71,2265,4
2,19.34,174.42,6330,50
2,23.92,159.66,5545,10
2,21.54,139.48,7905,34
1,3.80,332.50,8970,55
2,8.16,147.11,733,39
2,12.15,296.38,1971,22
2,23.82,175.07,3762,7
0,-0.54,349.92,3795,1
2,17.84,137.66,4741,9
0,-1.34,583.29,6223,49
2,19.18,215.89,8055,34
1,3.83,314.76,8236,16
1,2.68,283.56,700,39
2,14.09,262.19,2479,42
2,11.46,238.75,3451,6
2,13.00,219.55,1331,21
2,19.04,185.21,2450,4
2,16.95,160.99,4341,8
2,18.46,224.20,5602,11
2,17.59,198.41,3178,6
2,24.09,179.06,4571,9
1,4.35,114.75,5583,11
2,27.86,133.98,9124,56
2,6.72,351.11,556,40
1,5.11,255.92,872,20
2,19.87,185.87,2131,4
0,-2.32,628.60,9084,45
2,12.92,203.83,9263,18
2,25.97,80.09,3818,7
2,13.40,289.22,3825,26
2,14.53,260.43,8342,35
2,11.06,298.42,6233,31
1,2.14,300.12,8522,35
2,21.92,177.33,3262,44
2,17.62,126.93,3342,44
2,15.93,217.95,4094,46
1,2.80,366.96,4750,27
2,15.57,289.67,8271,54
2,6.23,350.76,9002,56
2,15.72,120.18,1417,21
2,16.31,228.49,2585,24
2,7.86,213.43,4421,8
2,24.99,113.78,2466,42
2,13.95,291.19,6996,32
1,5.35,175.55,9550,56
2,11.31,96.98,244,0
2,15.98,260.70,6001,30
2,13.28,181.09,6450,50
2,10.17,208.63,7430,14
2,12.72,289.57,8476,54
2,24.23,143.25,8827,55
2,15.20,205.42,2476,23
1,2.45,304.32,4668,9
2,6.18,143.98,5228,10
2,6.22,269.10,7860,53
1,4.46,339.90,910,0
1,4.25,319.11,2401,4
2,16.41,136.97,3425,25
2,15.68,296.41,5037,28
2,22.82,187.78,5771,49
1,2.15,204.69,7438,33
2,13.72,179.90,6522,31
2,14.85,285.60,6592,32
2,19.62,229.49,7724,15
0,-3.69,288.32,8388,16
1,2.38,163.62,9122,56
2,14.58,237.11,2963,5
2,11.16,300.53,4135,27
2,12.32,143.97,6508,12
1,5.00,215.05,5356,48
2,17.97,168.58,6072,50
2,30.84,105.23,8094,16
1,5.67,251.70,600,20
2,22.30,209.01,3699,7
2,16.64,65.65,5138,29
2,19.55,179.95,2442,4
2,26.10,127.22,2969,5
2,6.97,314.66,4537,8
0,0.86,339.52,7186,33
2,17.93,230.75,7319,33
2,15.68,193.36,9417,37
2,13.73,268.29,1374,2
2,11.06,262.08,1825,41
2,18.83,198.71,2066,4
2,21.50,263.49,5831,30
2,21.62,176.10,5900,49
0,0.02,265.66,6674,32
1,3.06,207.94,7469,52
0,0.82,354.09,8874,16
0,0.24,91.35,336,0
2,7.55,65.99,3116,6
1,5.31,365.46,4317,26
2,18.88,299.50,3713,7
2,17.97,208.84,3891,45
2,10.39,262.12,4258,27
2,23.34,164.45,779,1
2,18.22,202.33,2021,41
1,3.91,280.35,3171,44
2,8.33,286.07,3072,44
2,20.53,164.89,4646,9
1,2.92,231.41,4670,47
1,2.79,328.44,5800,22
2,17.99,240.52,7486,52
2,27.28,110.45,189,19
1,5.39,312.55,1458,40
2,12.79,272.02,1883,41
2,7.75,253.46,7512,52
0,0.19,331.89,8529,54
1,3.47,155.63,3850,7
2,15.38,257.92,4153,27
2,12.22,306.98,4914,27
2,6.97,248.14,6025,49
2,20.98,162.99,1177,2
2,8.15,166.66,1880,41
2,14.81,249.17,1990,3
0,-3.45,609.21,9202,45
2,16.02,218.90,2123,42
2,13.61,298.67,6347,31
2,14.83,289.08,7740,53
2,19.00,102.48,6581,32
0,-2.54,573.32,1524,20
2,12.87,271.57,3265,25
2,17.39,209.57,6925,51
2,28.67,110.89,2207,42
2,22.69,122.89,8105,16
2,15.46,299.82,9404,18
2,9.17,183.33,8364,35
2,7.16,167.19,340,38
2,26.90,119.42,938,20
1,3.34,295.46,4846,9
2,22.69,115.96,3405,6
2,11.64,213.50,3880,26
2,9.68,276.88,9275,56
2,14.89,245.48,391,38
2,13.45,250.46,1047,20
0,-2.56,573.48,1573,12
0,-0.29,382.96,2385,41
2,15.80,182.53,5630,30
0,0.01,565.04,6828,33
2,10.54,258.83,2141,4
2,11.09,284.26,2732,43
2,12.37,293.00,4393,27
1,5.74,368.64,3559,5
2,7.80,325.73,7166,34
2,18.90,230.81,8851,17
1,4.55,363.61,1701,48
1,2.95,583.23,3685,1
2,17.13,160.91,4915,28
0,-1.09,326.02,1853,22
2,26.63,87.80,5423,48
2,6.82,323.20,8432,44
2,6.62,319.06,8275,54
0,0.69,394.02,233,4
2,15.34,225.73,1923,22
1,1.87,379.34,4810,10
0,-0.72,575.15,4534,2
2,14.84,63.83,6448,12
0,1.00,217.48,7705,15
0,0.58,189.59,8395,54
1,2.61,203.69,1281,2
2,16.18,207.09,2715,5
2,12.67,259.89,3484,25
2,26.51,103.09,7276,52
2,14.33,299.51,8709,55
0,-3.45,589.49,2932,35
1,4.71,231.27,3350,44
2,8.80,342.04,8583,16
0,-1.00,362.62,5806,22
1,5.29,132.83,7358,33
1,4.10,318.56,1931,3
2,23.45,215.16,4030,7
2,30.76,111.78,4340,27
2,13.49,217.05,6801,32
2,12.32,301.62,8755,55
0,0.75,385.85,876,37
2,10.76,277.10,1636,41
2,22.41,202.33,4683,28
2,27.63,108.30,5808,11
1,2.50,332.55,6795,33
2,13.97,316.09,7297,52
2,9.47,162.68,8505,35
2,13.12,268.14,273,38
2,6.29,267.90,577,39
2,13.24,171.76,1565,3
2,20.32,217.83,4330,27
1,5.35,188.85,7759,15
2,7.14,305.09,8707,55
2,16.89,218.68,7160,52
2,26.90,163.25,7908,34
1,2.18,371.56,253,40
2,27.21,130.09,1651,3
0,-1.37,359.87,6388,23
0,-0.72,178.33,5457,29
2,15.01,252.52,6410,31
2,14.86,254.95,6591,51
1,4.76,274.88,7128,52
2,6.11,281.20,7614,15
2,19.22,205.69,1560,2
2,10.14,261.02,5207,48
2,12.39,255.54,5373,10
1,5.02,289.45,9006,36
2,18.00,255.06,4530,8
2,21.64,195.84,7710,53
2,7.62,285.63,4115,27
2,28.91,114.77,7408,33
2,29.12,176.05,7881,53
0,0.44,370.74,8176,44
2,27.76,116.26,720,20
1,3.60,294.14,2892,24
2,11.07,70.20,3693,26
2,16.74,68.42,998,39
0,0.96,295.14,2896,24
2,15.55,289.04,6137,31
0,0.36,250.21,2319,42
1,2.44,318.04,4294,27
2,24.79,161.14,6709,32
2,13.26,253.12,81,0
2,20.20,92.49,734,20
2,14.74,245.44,1572,3
2,14.91,223.46,978,20
0,-0.60,272.99,2912,5
2,6.74,250.88,3612,26
2,21.91,168.22,7484,33
1,3.62,326.79,7779,43
1,2.76,308.98,7939,15
0,-0.75,286.55,3726,45
1,1.43,399.34,6322,49
2,6.93,327.98,6690,33
0,-0.31,339.85,4208,26
2,13.18,249.36,4460,8
2,9.43,281.17,5326,10
2,13.53,199.94,8472,16
2,10.20,340.04,8835,17
2,10.93,235.34,1378,21
1,5.68,339.66,1729,48
1,4.41,367.69,2230,24
0,-0.78,195.75,1982,22
1,2.05,396.63,6785,50
2,11.54,200.29,108,38
1,3.79,354.77,197,40
2,16.60,252.56,5702,11
2,15.13,201.13,9501,37
2,27.36,136.80,4850,9
1,1.17,413.07,8705,16
2,9.82,266.16,9119,56
1,4.21,364.73,752,46
2,20.20,168.87,1637,22
2,6.40,360.67,1659,12
2,18.34,164.40,2532,4
2,14.81,217.27,2749,5
2,9.67,256.78,326,0
0,0.26,306.08,403,19
2,21.79,169.77,453,38
2,11.96,296.68,4532,27
2,15.64,242.17,5509,48
2,21.86,161.14,3368,6
2,17.20,179.91,5650,49
2,10.74,252.05,7584,34
1,5.74,58.12,7753,15
0,-2.22,338.31,251,19
1,1.98,304.97,352,38
2,8.74,307.61,2451,23
0,0.57,101.23,2478,42
2,7.77,287.90,6837,51
2,9.86,276.78,7034,13
2,9.01,341.33,9060,56
2,15.28,213.11,645,20
1,5.21,312.42,1758,3
2,21.28,172.16,6552,31
2,13.55,195.90,294,38
2,25.00,171.63,5151,10
2,12.08,62.67,5540,48
1,4.07,67.21,4517,27
0,-1.24,571.71,4703,27
2,21.51,213.88,5648,11
2,15.69,206.56,6778,51
2,19.54,167.58,8099,16
2,18.94,151.53,213,19
2,15.31,200.38,488,38
2,8.45,121.09,4387,8
1,4.09,314.55,8146,35
2,13.74,171.50,3184,44
2,24.98,124.76,9248,18
2,22.47,157.89,2404,42
2,11.58,145.14,7870,53
2,22.26,161.01,8287,54
2,18.33,188.09,7972,15
0,-1.59,172.99,8679,17
0,-2.41,592.77,9034,56
2,25.25,138.89,9081,56
2,18.21,213.64,662,20
2,9.97,170.61,2953,43
1,2.13,309.35,3282,44
2,10.59,308.45,2516,41
2,6.54,364.55,3474,5
0,0.37,216.77,4504,46
2,15.46,197.02,4929,9
2,8.56,330.62,5063,11
2,12.15,206.17,84,38
2,10.16,283.08,373,19
2,11.48,186.51,2415,23
0,0.12,386.36,6850,33
2,28.99,115.02,7301,14
2,10.83,262.76,7331,14
0,0.07,302.80,7280,52
1,3.27,338.08,5863,22
1,1.56,398.84,6209,49
2,17.39,167.91,6302,50
2,17.05,259.15,8051,34
2,19.79,102.69,8610,36
2,13.65,212.51,3478,44
1,6.01,314.31,4036,45
2,27.17,112.49,4300,46
1,1.85,212.24,2392,23
2,18.15,114.73,3804,45
2,28.02,147.09,5085,29
2,28.37,141.99,7593,15
2,18.46,222.10,7970,53
2,13.71,272.22,8030,15
2,7.53,314.46,9536,6
2,12.20,184.87,2601,5
2,6.81,71.59,3623,7
2,31.96,99.74,3886,45
1,2.68,316.56,9467,37
0,-1.07,579.02,5554,11
2,22.89,94.59,7097,14
0,-2.06,333.27,9227,37
0,0.81,318.72,6676,32
2,19.16,179.53,7235,14
2,15.65,292.64,8800,17
2,28.29,93.78,1301,40
2,12.54,287.27,1935,22
2,13.96,268.51,4860,47
0,-2.20,61.29,3045,43
1,1.30,247.78,3427,6
1,1.29,313.95,6379,12
2,20.17,154.54,7591,53
0,-1.35,419.65,8169,44
1,2.77,244.32,1066,2
2,19.87,196.93,2196,23
1,1.58,327.18,2342,23
2,28.34,124.74,6759,13
2,31.00,101.37,7441,52
2,8.57,183.33,9097,56
2,20.02,221.41,4388,27
2,12.99,294.10,4944,9
2,6.27,219.66,5102,29
2,16.18,237.39,2243,4
1,2.74,267.18,2990,24
1,5.08,140.69,3006,24
0,1.09,230.94,4007,45
2,14.50,278.65,5656,11
2,10.10,98.49,485,38
2,27.69,99.92,1419,21
2,23.44,151.20,2093,42
2,15.19,186.53,9125,56
2,18.41,225.21,7631,15
0,-2.83,563.76,1406,20
0,-0.96,582.07,5313,21
2,22.45,190.80,6826,51
2,13.90,191.85,9224,56
1,1.68,291.66,3893,26
2,18.24,206.14,7768,34
2,18.60,243.34,8004,34
2,10.03,283.13,3958,7
0,0.07,364.81,6063,49
2,15.23,99.28,6391,12
2,8.39,244.32,6480,31
2,14.10,173.63,8909,17
2,22.41,86.44,3467,25
2,22.91,245.92,3619,7
1,2.31,628.40,3908,1
0,0.48,187.14,8793,36
0,0.61,348.53,8826,16
2,9.34,229.61,9414,56
1,5.13,65.14,1510,40
2,9.28,266.57,1878,41
0,-1.90,586.77,5039,27
2,30.67,93.28,6924,32
2,18.30,222.08,7092,33
2,30.28,89.99,7414,52
2,8.64,217.45,891,39
2,13.21,130.31,2344,4
2,29.27,104.42,4420,46
2,8.58,318.79,5263,29
2,10.50,325.74,6762,33
2,8.30,355.00,8288,15
1,1.11,309.60,338,0
1,3.19,384.85,1695,19
2,22.56,137.84,2084,23
1,5.24,292.22,5031,28
1,4.71,312.71,193,19
2,6.20,348.73,1208,20
2,22.83,161.73,4055,45
2,7.45,331.54,7475,42
2,10.06,139.93,9210,56
2,10.15,224.62,3445,6
1,4.64,330.41,3894,1
2,26.31,142.96,7252,14
2,7.16,202.93,3696,7
2,22.05,168.62,5424,48
2,26.49,109.98,1533,40
2,12.59,230.36,3056,24
2,8.18,263.52,3360,6
2,13.79,268.77,8154,54
2,11.00,292.70,8218,16
2,12.36,254.20,8479,54
2,22.90,87.21,8718,17
2,29.10,100.03,9385,18
0,-0.43,393.27,1134,20
2,11.44,263.63,1668,3
2,14.70,254.09,3240,25
2,27.05,93.67,1248,40
2,16.79,65.26,3935,7
2,14.77,275.98,5415,29
2,13.33,92.69,7874,34
2,14.09,273.68,7913,53
2,7.58,323.20,7958,53
1,5.02,244.08,8423,35
0,-0.94,355.53,2195,24
2,23.01,142.40,5131,48
2,9.73,295.56,6594,13
1,2.92,392.63,8965,16
2,20.80,189.16,2291,42
0,0.02,283.28,2627,24
2,13.19,302.01,5915,49
2,15.67,246.04,1915,22
2,12.90,282.68,5286,48
2,10.39,314.90,8398,44
2,11.65,276.92,7199,14
2,22.64,80.56,8637,36
2,6.04,230.13,902,20
2,11.59,298.44,4707,9
2,20.68,166.49,5504,48
2,28.50,136.17,6597,51
0,-1.28,607.74,7328,34
2,34.23,96.96,5848,30
1,5.09,288.57,6406,50
2,21.82,169.00,6451,12
2,8.48,190.60,3525,44
0,-0.74,212.93,5856,11
2,19.60,220.90,6517,31
2,9.38,223.93,4558,27
2,9.35,256.87,5132,48
1,3.43,374.40,452,40
2,11.20,182.05,1722,41
2,26.15,138.38,4137,27
0,-4.00,287.23,8254,54
2,13.78,224.88,746,1
2,11.01,276.10,5496,29
2,6.04,336.07,6907,33
0,-0.13,258.71,7541,14
0,0.36,243.82,9541,56
1,5.28,185.03,1277,21
2,10.66,315.59,2302,13
0,-1.41,57.00,2921,43
2,21.67,174.75,1846,22
2,11.62,239.60,3952,26
2,16.56,151.38,5871,11
0,0.53,287.12,6793,13
1,1.24,57.52,8451,16
2,7.77,182.22,1213,21
2,8.88,328.95,1368,20
1,5.57,322.16,1756,12
2,17.12,273.40,4781,9
2,13.65,182.48,5279,10
2,8.37,321.07,5340,21
1,4.33,62.16,5563,11
0,0.11,260.64,6984,51
2,12.17,288.13,1294,21
