SNR,CDF
-5.38,0.00
-4.97,0.00
-4.56,0.00
-4.15,0.00
-3.74,0.01
-3.33,0.01
-2.92,0.01
-2.51,0.02
-2.10,0.03
-1.69,0.03
-1.28,0.04
-0.87,0.06
-0.46,0.07
-0.06,0.09
0.35,0.11
0.76,0.12
1.17,0.14
1.58,0.16
1.99,0.17
2.40,0.19
2.81,0.20
3.22,0.22
3.63,0.23
4.04,0.25
4.45,0.27
4.86,0.28
5.27,0.30
5.68,0.32
6.09,0.33
6.50,0.35
6.91,0.36
7.32,0.38
7.73,0.39
8.14,0.41
8.55,0.42
8.96,0.44
9.36,0.46
9.77,0.47
10.18,0.49
10.59,0.51
11.00,0.52
11.41,0.54
11.82,0.56
12.23,0.57
12.64,0.59
13.05,0.60
13.46,0.62
13.87,0.63
14.28,0.65
14.69,0.66
15.10,0.68
15.51,0.69
15.92,0.71
16.33,0.72
16.74,0.73
17.15,0.74
17.56,0.76
17.97,0.77
18.38,0.78
18.79,0.79
19.19,0.81
19.60,0.81
20.01,0.82
20.42,0.84
20.83,0.85
21.24,0.86
21.65,0.87
22.06,0.87
22.47,0.88
22.88,0.89
23.29,0.90
23.70,0.91
24.11,0.92
24.52,0.92
24.93,0.93
25.34,0.94
25.75,0.94
26.16,0.95
26.57,0.95
26.98,0.96
27.39,0.96
27.80,0.97
28.21,0.98
28.62,0.98
29.02,0.98
29.43,0.99
29.84,0.99
30.25,0.99
30.66,0.99
31.07,0.99
31.48,1.00
31.89,1.00
32.30,1.00
32.71,1.00
33.12,1.00
33.53,1.00
33.94,1.00
34.35,1.00
34.76,1.00
35.17,1.00
