%!I(MISSING)D	X	Y	Z	SNR
63	71.495384	-284.515264	1.100000	4.54
64	235.354564	-206.760655	1.100000	4.08
65	274.238965	-143.064268	1.100000	1.63
66	113.787723	-94.002137	1.100000	14.43
67	-67.375911	-8.948711	1.100000	7.01
68	36.198165	262.616765	1.100000	0.04
69	-137.342503	177.297612	1.100000	16.48
70	-116.493700	-216.973345	1.100000	15.15
71	196.578731	-118.083710	1.100000	8.11
72	-47.076573	-88.348955	1.100000	28.72
73	129.329196	-241.740637	1.100000	8.38
74	53.509573	-98.396626	1.100000	1.01
75	118.252543	-115.445074	1.100000	9.36
76	-7.733742	-345.157379	1.100000	-2.42
77	80.886268	-174.384495	1.100000	-1.47
78	-102.836980	60.957672	1.100000	22.35
79	43.437718	-68.311177	1.100000	2.09
80	42.333229	-51.360359	1.100000	6.33
81	246.013232	-52.099004	1.100000	13.26
82	-12.147521	298.839695	1.100000	2.56
83	-26.923616	93.252246	1.100000	27.57
84	-174.586232	-105.792891	1.100000	12.15
85	55.125865	-232.296195	1.100000	-0.19
86	-38.735915	-72.660540	1.100000	27.49
87	-127.772602	240.373549	1.100000	13.10
88	-207.727895	-222.135562	1.100000	8.15
89	198.191690	-116.567550	1.100000	8.31
90	57.693626	213.659832	1.100000	1.06
91	-233.983350	136.763756	1.100000	4.24
92	-130.575042	74.167746	1.100000	18.38
93	49.301362	116.293287	1.100000	6.78
94	-78.921529	-24.501167	1.100000	16.88
95	256.683004	126.132862	1.100000	4.60
96	-142.907568	89.492536	1.100000	16.96
97	156.570956	181.680906	1.100000	2.03
98	-71.830685	239.190570	1.100000	13.04
99	-240.919441	62.511246	1.100000	1.07
100	7.550492	2.878441	1.100000	-5.14
101	-36.489883	-35.186111	1.100000	4.56
102	-263.632802	-18.994157	1.100000	7.57
103	56.020586	-263.296239	1.100000	1.16
104	75.056818	113.355737	1.100000	2.57
105	174.115093	-124.730693	1.100000	7.55
106	-65.103685	208.899390	1.100000	16.07
107	50.726392	-297.660615	1.100000	2.33
108	5.961557	-198.104737	1.100000	11.54
109	-69.145348	179.658124	1.100000	19.42
110	32.571663	52.006008	1.100000	-2.32
111	34.851992	-159.915442	1.100000	10.77
112	219.901929	84.491051	1.100000	11.87
113	179.540318	-229.845287	1.100000	8.36
114	-35.209164	50.918239	1.100000	18.79
115	219.291286	-175.828715	1.100000	0.18
116	207.358524	-72.636753	1.100000	14.12
117	299.672830	173.055873	1.100000	-3.12
118	-43.930301	68.034209	1.100000	27.21
119	-196.864409	-43.749814	1.100000	2.47
120	-284.209025	147.822731	1.100000	-1.75
121	-174.077812	-71.676669	1.100000	9.96
122	187.353195	-79.524218	1.100000	14.58
123	132.240674	-248.582990	1.100000	9.00
124	-112.199221	-109.769383	1.100000	22.16
125	208.867198	-198.681621	1.100000	3.82
126	211.358186	185.362001	1.100000	1.79
127	-10.616484	238.888410	1.100000	8.74
128	-288.643147	171.124961	1.100000	-1.80
129	230.272230	175.678960	1.100000	-0.05
130	205.517676	-27.814572	1.100000	18.14
131	15.822395	-136.284531	1.100000	17.24
132	79.914016	42.359164	1.100000	23.80
133	137.823202	-258.514441	1.100000	9.92
134	12.435703	-125.801536	1.100000	18.96
135	-292.157373	16.585649	1.100000	10.06
136	152.489909	-218.442522	1.100000	7.14
137	204.300975	113.984085	1.100000	8.49
138	-49.060120	61.434693	1.100000	26.31
139	-102.839990	135.772774	1.100000	22.04
140	-95.296029	-18.811959	1.100000	14.65
141	164.613056	160.323885	1.100000	0.44
142	68.392616	286.981402	1.100000	4.24
143	191.016201	-119.066215	1.100000	8.13
144	-120.889649	131.306633	1.100000	20.31
145	56.853651	-62.728727	1.100000	12.45
146	-165.875253	250.923893	1.100000	10.78
147	-94.167071	230.918285	1.100000	14.27
148	-66.117561	136.515406	1.100000	24.36
149	52.717503	-209.892076	1.100000	2.37
150	-90.269540	-276.044276	1.100000	9.82
151	-92.390228	-254.975506	1.100000	11.98
152	262.613549	-88.350272	1.100000	8.80
153	9.902248	-233.035377	1.100000	6.90
154	-4.147816	130.456515	1.100000	21.59
155	-94.088781	137.714475	1.100000	22.67
156	-29.276260	97.752768	1.100000	27.63
157	-42.512039	292.217613	1.100000	5.75
158	85.300625	-158.512382	1.100000	-2.60
159	-119.985879	37.335488	1.100000	15.86
160	-182.974257	-226.000648	1.100000	10.58
161	204.783586	139.356428	1.100000	4.23
162	-100.075441	177.570872	1.100000	18.96
163	-35.589656	-296.201716	1.100000	4.83
164	254.037138	154.142551	1.100000	0.76
165	-263.251254	75.870399	1.100000	2.79
166	-98.644424	-263.988518	1.100000	11.22
167	15.015985	-270.645849	1.100000	2.26
168	-271.165701	33.424462	1.100000	7.33
169	55.024138	123.765317	1.100000	5.21
170	-55.892220	86.457519	1.100000	28.65
171	-123.103388	269.366251	1.100000	10.87
172	-96.480525	21.360943	1.100000	15.37
173	-151.232003	-256.754854	1.100000	11.20
174	151.820286	63.382951	1.100000	19.35
175	187.594083	137.115058	1.100000	4.97
176	48.248792	214.663139	1.100000	2.75
177	120.248471	-146.835300	1.100000	1.88
178	253.494892	-103.996646	1.100000	7.57
179	-10.643195	258.083325	1.100000	6.62
180	-226.106196	29.791040	1.100000	2.40
181	-10.846367	193.780626	1.100000	14.21
182	-273.036166	105.525471	1.100000	1.18
183	-270.063641	147.046233	1.100000	-0.35
184	33.075903	269.204309	1.100000	-0.12
185	-59.636600	-90.902277	1.100000	28.42
186	57.961205	-77.140355	1.100000	7.58
187	135.053093	-7.492948	1.100000	26.23
188	226.253133	177.334970	1.100000	0.28
189	-74.756169	76.001215	1.100000	27.28
190	-80.929365	102.763507	1.100000	26.27
191	130.006125	151.976362	1.100000	1.28
192	-295.163453	-53.253702	1.100000	8.14
193	-239.640072	198.803507	1.100000	4.71
194	224.841040	24.804221	1.100000	16.57
195	-46.728530	208.961626	1.100000	15.30
196	-34.482579	-157.235292	1.100000	21.21
197	177.400821	194.513309	1.100000	3.79
198	-126.886592	-245.402309	1.100000	12.75
199	-168.545494	-49.328574	1.100000	8.49
200	-39.121974	-254.854687	1.100000	9.56
201	-87.743539	-228.619751	1.100000	14.45
202	34.893572	102.059630	1.100000	11.66
203	-232.270850	-47.993685	1.100000	1.31
204	128.481833	-73.719760	1.100000	18.84
205	89.797735	-85.451651	1.100000	14.78
206	70.556442	-36.157622	1.100000	22.57
207	-44.017227	-309.362824	1.100000	3.95
208	173.691125	-172.788366	1.100000	0.24
209	-18.927461	-149.114360	1.100000	21.06
210	-222.970618	70.700146	1.100000	1.07
211	289.942171	179.517891	1.100000	-2.06
212	-199.343171	-222.364586	1.100000	9.07
213	-1.660511	148.743380	1.100000	18.94
214	-88.541682	-98.015780	1.100000	25.62
215	-14.954072	121.243690	1.100000	24.16
216	-191.310230	-9.854630	1.100000	-0.02
217	48.518165	-127.157033	1.100000	8.05
218	-65.707688	-39.310481	1.100000	21.25
219	-129.043287	131.415767	1.100000	19.28
220	84.829237	-204.768247	1.100000	1.32
221	13.982452	313.116579	1.100000	-1.59
222	116.115800	186.096940	1.100000	2.71
223	-148.015002	3.729749	1.100000	3.48
224	-10.034563	16.052542	1.100000	-4.49
225	-200.198063	-81.112544	1.100000	6.06
226	-74.473017	80.911644	1.100000	27.43
227	-296.247148	-150.413431	1.100000	-1.12
228	-3.393003	182.415893	1.100000	14.78
229	-214.163233	155.845329	1.100000	7.72
230	42.070663	-174.018308	1.100000	7.89
231	21.939683	-178.963808	1.100000	11.33
232	190.139041	-134.087467	1.100000	5.48
233	-214.416494	30.149227	1.100000	0.69
234	4.782433	-76.644241	1.100000	19.60
235	205.845863	-45.638085	1.100000	16.93
236	-132.252914	167.018737	1.100000	17.45
237	285.933190	46.268884	1.100000	10.70
238	60.068036	-153.910399	1.100000	4.64
239	126.672273	-126.284607	1.100000	7.12
240	-15.619003	-34.940616	1.100000	-3.36
241	134.276269	-227.953528	1.100000	7.62
242	296.326320	98.457179	1.100000	5.40
243	198.222024	166.057080	1.100000	-0.54
244	60.184713	70.335237	1.100000	11.31
245	29.381694	-311.725895	1.100000	-0.00
246	-128.078102	-6.998059	1.100000	7.30
247	-53.906014	-244.860154	1.100000	11.63
248	244.592588	-126.067249	1.100000	5.10
249	147.486927	-80.696192	1.100000	16.73
250	18.626708	-39.406115	1.100000	-2.07
251	-0.713638	337.073103	1.100000	-2.22
252	95.788042	-33.219865	1.100000	26.51
253	78.008708	230.807786	1.100000	2.18
254	11.775771	102.190322	1.100000	20.33
255	295.823264	-97.864883	1.100000	5.50
256	99.265845	-217.444179	1.100000	4.18
257	-96.959129	-225.076552	1.100000	14.81
258	263.707356	136.707506	1.100000	2.90
259	-239.934379	-49.189755	1.100000	2.28
260	-44.502089	-85.200822	1.100000	28.69
261	-266.510714	149.443586	1.100000	0.26
262	46.515014	320.995348	1.100000	2.45
263	202.613894	-105.925431	1.100000	9.83
264	63.249935	-51.087810	1.100000	18.08
265	276.617707	90.009285	1.100000	7.70
266	63.764895	24.284046	1.100000	20.45
267	129.326392	156.956347	1.100000	0.10
268	-133.159185	-173.375984	1.100000	17.04
269	247.181322	132.422042	1.100000	4.11
270	-260.584024	63.735352	1.100000	3.59
271	-292.425070	-157.060103	1.100000	-2.08
272	-70.034488	157.072884	1.100000	21.98
273	-157.310950	-215.214649	1.100000	13.12
274	170.616458	133.040135	1.100000	6.00
275	-12.614034	-185.341991	1.100000	15.51
276	206.591304	29.940156	1.100000	17.93
277	-8.549143	282.865256	1.100000	3.81
278	-142.510232	164.224238	1.100000	16.58
279	-157.548963	-228.563493	1.100000	12.46
280	106.632917	-241.991412	1.100000	6.58
281	-22.550052	-7.979300	1.100000	-3.64
282	31.742671	-70.916187	1.100000	5.73
283	92.697864	-181.594151	1.100000	0.54
284	137.616777	228.632563	1.100000	7.81
285	175.507216	-22.530874	1.100000	21.33
286	-78.017952	-297.062515	1.100000	7.08
287	3.787702	-301.010028	1.100000	0.69
288	-250.628945	174.615837	1.100000	3.21
289	203.586931	-92.414988	1.100000	11.79
290	-153.756013	75.442540	1.100000	14.10
291	141.979129	224.132233	1.100000	7.54
292	25.927725	266.928803	1.100000	1.14
293	18.782900	-238.153149	1.100000	5.11
294	-5.129808	-193.691308	1.100000	13.55
295	-51.612067	213.233902	1.100000	15.05
296	-113.247826	-12.777898	1.100000	10.97
297	59.093985	251.944803	1.100000	0.82
298	-19.115822	-325.555029	1.100000	0.44
299	297.553070	73.061226	1.100000	7.71
300	-27.527892	12.987806	1.100000	-3.18
301	157.008305	-222.627403	1.100000	7.62
302	-45.385111	136.342610	1.100000	24.44
303	88.877311	-243.858210	1.100000	4.60
304	-104.177952	-162.131830	1.100000	20.00
305	-183.923698	-12.074374	1.100000	-0.48
306	19.613791	-134.222210	1.100000	16.58
307	-86.421110	201.691665	1.100000	17.06
308	107.265356	178.507351	1.100000	1.42
309	113.947437	-88.475572	1.100000	15.76
310	27.228058	-224.826662	1.100000	5.28
311	37.799087	-108.462665	1.100000	11.04
312	-25.507069	329.363929	1.100000	0.50
313	226.826890	99.397811	1.100000	9.57
314	-269.207472	56.187413	1.100000	5.30
315	-280.103955	-187.009783	1.100000	-0.47
316	-18.390395	114.618642	1.100000	25.28
317	-236.049926	-209.850542	1.100000	5.01
318	-224.358851	152.585366	1.100000	6.22
319	68.309622	-279.728462	1.100000	3.88
320	-58.408864	1.467187	1.100000	-3.52
321	56.096230	-20.148744	1.100000	14.72
322	-165.295929	-201.360130	1.100000	13.04
323	97.472657	43.404420	1.100000	25.04
324	-257.016655	20.396180	1.100000	6.85
325	240.188177	-169.484655	1.100000	-1.16
326	237.129312	94.188907	1.100000	9.67
327	-256.391174	185.528721	1.100000	2.58
328	-59.413048	49.375865	1.100000	23.98
329	115.609759	-183.285229	1.100000	2.34
330	181.206724	-113.889880	1.100000	9.36
331	-187.499314	118.000227	1.100000	10.53
332	-103.776843	147.084675	1.100000	21.17
333	-192.627159	149.141731	1.100000	10.57
334	-218.686840	201.440866	1.100000	7.32
335	6.515440	29.561355	1.100000	-3.11
336	44.354468	-74.441628	1.100000	0.24
337	204.199826	70.968310	1.100000	14.54
338	270.272261	148.226967	1.100000	1.11
339	-262.055601	86.661401	1.100000	1.63
340	50.552377	-156.726078	1.100000	7.16
341	-225.752987	13.848490	1.100000	4.02
342	-179.410807	-49.786473	1.100000	6.50
343	37.607799	161.194185	1.100000	10.03
344	-61.370638	-102.779702	1.100000	27.74
345	-245.219541	-202.386173	1.100000	3.96
346	-80.460210	4.629151	1.100000	8.58
347	5.911213	-309.845932	1.100000	-0.37
348	257.801688	-155.622197	1.100000	0.45
349	255.008940	-170.786087	1.100000	-1.37
350	-178.781166	237.719830	1.100000	10.47
351	143.552720	69.848433	1.100000	18.85
352	-10.929694	-303.397473	1.100000	1.98
353	24.960480	101.137446	1.100000	15.92
354	-186.191167	-189.426084	1.100000	11.26
355	146.128162	68.217068	1.100000	18.97
356	117.923774	166.335870	1.100000	-0.16
357	-290.496763	98.617273	1.100000	3.68
358	-25.806701	-307.854483	1.100000	2.83
359	-87.987694	-158.659809	1.100000	21.23
360	224.323241	98.613278	1.100000	9.81
361	-196.990314	226.955958	1.100000	9.17
362	-95.516413	109.425757	1.100000	24.34
363	119.394425	-35.649382	1.100000	25.55
364	-283.620100	-176.061992	1.100000	-1.05
365	222.551897	19.831315	1.100000	16.96
366	-282.875981	-161.501479	1.100000	-1.38
367	73.082474	-24.971477	1.100000	24.31
368	218.111524	-184.869854	1.100000	1.58
369	-181.527539	139.301171	1.100000	11.99
370	92.250948	-270.676824	1.100000	6.51
371	-0.915499	62.735636	1.100000	14.64
372	-152.538824	-107.016378	1.100000	15.88
373	-193.582135	204.515855	1.100000	10.16
374	-22.930150	-58.663141	1.100000	19.29
375	-167.966730	-118.477469	1.100000	13.65
376	48.053241	-100.856617	1.100000	4.66
377	-240.927256	186.743931	1.100000	4.59
378	239.458418	210.357209	1.100000	4.36
379	-171.133335	125.498647	1.100000	13.31
380	207.887331	-53.287443	1.100000	16.10
381	47.543834	138.888929	1.100000	8.61
382	133.054896	196.629401	1.100000	4.40
383	48.895698	224.362757	1.100000	1.68
384	-249.772492	-150.581459	1.100000	2.61
385	105.414048	6.905643	1.100000	28.56
386	235.336693	117.712789	1.100000	6.66
387	-194.341025	19.225744	1.100000	-0.92
388	-106.916193	163.233139	1.100000	19.73
389	-148.918288	-134.398618	1.100000	16.58
390	-95.317338	245.561686	1.100000	12.92
391	-95.737601	-224.181969	1.100000	14.89
392	-133.328839	113.690355	1.100000	19.00
393	38.780842	-112.777617	1.100000	11.00
394	-23.797043	-173.742582	1.100000	18.17
395	-272.722205	96.792521	1.100000	1.97
396	37.034603	292.056849	1.100000	0.21
397	73.075279	142.190871	1.100000	0.17
398	-79.365597	110.272709	1.100000	25.98
399	133.360288	69.272084	1.100000	19.48
400	102.467380	-160.001873	1.100000	-1.31
401	108.033025	227.935086	1.100000	5.84
402	84.553428	262.787135	1.100000	5.15
403	4.502606	304.682395	1.100000	0.26
404	-38.045210	289.688927	1.100000	5.71
405	-111.881192	33.598487	1.100000	16.51
406	-12.000284	57.899133	1.100000	14.60
407	83.335838	-22.767768	1.100000	26.72
408	57.463416	-252.881006	1.100000	0.64
409	-73.085695	-111.619622	1.100000	26.39
410	9.886581	-137.819308	1.100000	18.29
411	29.974518	55.555900	1.100000	-1.82
412	274.439407	-74.752669	1.100000	9.33
413	269.329599	-71.880162	1.100000	9.95
414	-108.323358	-139.016368	1.100000	21.30
415	282.365534	-3.882942	1.100000	12.68
416	-19.077076	305.437319	1.100000	2.52
417	-32.994104	79.265892	1.100000	27.71
418	-268.986048	165.778625	1.100000	0.58
419	-111.705364	150.847533	1.100000	20.23
420	163.082509	181.854245	1.100000	1.96
421	-44.135173	-245.856621	1.100000	10.91
422	99.190086	-151.243510	1.100000	-1.54
423	-132.680283	-16.003665	1.100000	8.99
424	-209.118883	-186.725693	1.100000	8.61
425	-110.675566	23.863620	1.100000	14.40
426	-197.680292	-77.665466	1.100000	6.20
427	40.052207	-69.949278	1.100000	-0.64
428	-235.537500	-3.779268	1.100000	5.93
429	-236.681747	93.642772	1.100000	0.94
430	-99.708118	-226.532884	1.100000	14.67
431	-6.818052	144.960916	1.100000	20.17
432	-196.691887	-125.849098	1.100000	9.39
433	-140.764910	138.439403	1.100000	17.59
434	26.393220	-99.962009	1.100000	15.25
435	-18.702940	-212.387362	1.100000	12.71
436	180.394185	47.086759	1.100000	19.02
437	-19.416914	3.124328	1.100000	-3.98
438	7.114847	197.163341	1.100000	11.50
439	185.828931	91.953125	1.100000	12.83
440	30.108668	289.538529	1.100000	-0.87
441	1.376121	37.798436	1.100000	-2.73
442	168.456856	104.957007	1.100000	11.41
443	68.087270	283.494636	1.100000	4.04
444	154.686123	96.674313	1.100000	13.45
445	172.689902	219.114536	1.100000	7.20
446	-32.238021	11.950554	1.100000	-2.83
447	-202.374611	184.859024	1.100000	9.44
448	88.173699	296.993138	1.100000	7.13
449	172.277845	-84.822711	1.100000	14.70
450	85.306919	112.461475	1.100000	5.89
451	-135.237359	-181.550994	1.100000	16.44
452	94.130053	215.699781	1.100000	3.43
453	-110.577156	-125.539839	1.100000	21.79
454	-113.641991	-235.095338	1.100000	13.79
455	61.644115	11.364708	1.100000	18.88
456	157.906421	136.426809	1.100000	5.38
457	-229.888559	58.260031	1.100000	-0.13
